"tree_ID","PC1_texture_shallow"
"tree_4349687",-0.927131887701717
"tree_4138163",0.228031108647777
"tree_3474025",0.444402993671343
"tree_270671",-1.01926342293056
"tree_4488065",-1.3139619373678
"tree_154233",-0.840501930977742
"tree_1044489",1.9467149548217
"tree_637640",-1.2295434236823
"tree_121667",0.310647757164228
"tree_5018475",1.97970916374184
"tree_4091799",-1.62766301912449
"tree_3187772",0.776842125094376
"tree_3532906",0.340008302896991
"tree_21960",0.210385171947583
"tree_60265",-0.795465648901413
"tree_2908826",0.344023865324585
"tree_2754626",2.63318032175852
"tree_4528149",-1.1287075175336
"tree_237755",-3.23300290194005
"tree_2398694",-1.61264804145
"tree_2468597",-2.12632443705042
"tree_4025685",1.50561813115989
"tree_1685607",2.4111747350273
"tree_5018216",1.53322861478189
"tree_2130175",-1.0943102328339
"tree_3396136",-0.0949600356691358
"tree_2148603",1.22459513707978
"tree_395531",0.248093141245258
"tree_80544",-0.766502476795085
"tree_6461",0.47449083174631
"tree_4508359",-2.14221553104793
"tree_98653",0.955611784469631
"tree_3908465",-0.581640094690996
"tree_272151",-2.29642115689868
"tree_4693022",0.726534896181261
"tree_4669615",0.0405658120803273
"tree_1943910",0.183772128370641
"tree_198973",-0.0430558775983964
"tree_1451583",-2.17305694633289
"tree_1097366",-1.95122898382131
"tree_59033",-1.40591021832724
"tree_4340816",-2.48157883896297
"tree_4793223",2.16350307468844
"tree_1265596",1.30819036442455
"tree_4681654",0.871703528558373
"tree_5022947",1.71741577975385
"tree_3845991",-0.204082378978851
"tree_1815518",-2.67786926386709
"tree_4192142",-0.320523462882544
"tree_562508",0.233734519486164
"tree_607569",1.95403369541568
"tree_1502900",0.684525364528682
"tree_4131515",0.360321150360989
"tree_4267151",-0.331303872494023
"tree_3549923",-2.60479350377822
"tree_2819463",2.38592349150059
"tree_4210230",-0.475760131610755
"tree_1993484",-2.0437636284128
"tree_616068",-0.0763542866717341
"tree_17536",-1.16956469358751
"tree_46192",-1.45259598829596
"tree_534616",1.84267344673354
"tree_2085200",-0.794379721289417
"tree_845483",-0.423693363087827
"tree_4294844",0.254152933133368
"tree_4766231",1.77664121579125
"tree_267908",-1.22773649476871
"tree_4699848",-0.328528503242016
"tree_380133",1.09247314740153
"tree_2877585",-1.40893190500646
"tree_4359303",-0.116769320852916
"tree_177803",-2.53299357154366
"tree_2702239",0.478509486850982
"tree_4266497",0.213462875971785
"tree_3203605",-0.641691071289201
"tree_240872",0.989679433606174
"tree_4054876",0.675774548448509
"tree_3940334",1.52577784567075
"tree_3980018",-0.732181663886329
"tree_922520",-1.28452482515847
"tree_224430",-0.621325121691135
"tree_4147752",-0.745714556617633
"tree_3550231",2.38775885381559
"tree_1443805",1.71024528583463
"tree_4984547",2.87705392585734
"tree_4939957",-0.188192700744406
"tree_200721",0.315483513255478
"tree_4633808",2.99949512532186
"tree_3522354",-0.212293654425529
"tree_2616063",-1.23590798202883
"tree_4594194",1.01859165211205
"tree_283226",0.680635917415878
"tree_2315991",0.719033279156124
"tree_1885989",2.07459449216711
"tree_2565250",-0.73973827133246
"tree_111497",-3.98494463534161
"tree_3881588",0.91281415153711
"tree_3500934",-0.384772973025128
"tree_1933377",2.03485767310951
"tree_3583739",-1.33788470052406
"tree_239491",-0.816118731037238
"tree_1210590",1.75243300801207
"tree_1267042",-1.20428907647768
"tree_1158945",1.03391955266657
"tree_1867937",1.90777664768572
"tree_2322188",-1.88106455263569
"tree_278277",-2.17272523401583
"tree_2642479",-0.978443874624493
"tree_2150566",1.15139195159951
"tree_1861202",0.761361930043722
"tree_352209",-0.147070357047379
"tree_28807",-1.09255059853846
"tree_4443647",1.10691987888933
"tree_4178905",0.507907471864607
"tree_4019005",-1.68092549572932
"tree_229055",1.28120115734361
"tree_4346139",0.657963935543042
"tree_73013",-1.54134327044171
"tree_1471767",1.52075911846272
"tree_4789196",2.3979048614055
"tree_3421967",1.85113835757203
"tree_4957384",3.06511618516551
"tree_143824",-0.0275002376807931
"tree_15378",-3.86746351368183
"tree_2634712",-0.543822522389573
"tree_449430",1.89624783029523
"tree_2770396",-1.78694367268087
"tree_249805",-3.28633603181908
"tree_3269273",0.135910267213234
"tree_5039617",2.74552421301351
"tree_204854",-1.18832639606335
"tree_4508011",-0.46907860256282
"tree_4879160",-0.140806195453064
"tree_4226866",-0.417103224912658
"tree_41039",-2.66522130487127
"tree_2886891",-1.7922556230952
"tree_4348170",1.05725971685955
"tree_946407",1.54434812645475
"tree_1998756",-0.663038054307735
"tree_4825306",0.425142187834328
"tree_3593185",1.71774250010609
"tree_3229009",0.679251419700444
"tree_3488956",-2.19192213823802
"tree_1087837",2.3661828323582
"tree_3713057",0.491962059437787
"tree_3613808",1.27752245375815
"tree_1158402",0.270334524497495
"tree_2789732",0.659774806591546
"tree_441122",0.146207342003192
"tree_162362",-1.45476689937649
"tree_2437090",1.39592585374864
"tree_779692",-1.88971300089619
"tree_4531232",0.515911851233227
"tree_4204895",0.552911484091063
"tree_1682592",1.86444426571246
"tree_2318136",-2.21716212166521
"tree_2450055",0.353237927713467
"tree_2129519",1.74797334364512
"tree_3818269",-0.371590642826801
"tree_234154",-0.901247930068278
"tree_81661",-0.660079041947263
"tree_3236887",0.811885638220397
"tree_2352234",-1.77407202214334
"tree_3685756",0.24009692929908
"tree_2057254",0.624393596166381
"tree_510472",0.591331649182962
"tree_633938",2.3293045232224
"tree_4912258",-1.18718099249614
"tree_386562",-2.85869536794668
"tree_2945072",0.216308437879221
"tree_1342981",-0.541014777601238
"tree_82297",2.29730813218555
"tree_5049609",1.07485452249313
"tree_3572801",-0.954888930083633
"tree_26408",0.0942556061616911
"tree_2901792",-2.25377526315789
"tree_2790105",-0.800409675013883
"tree_2385992",0.337037758285215
"tree_4513557",1.2069758401797
"tree_1019545",-2.42068891317083
"tree_385356",-0.186365222699234
"tree_879810",-2.72005980656983
"tree_2907939",1.01123631069422
"tree_1328160",-0.685643880345682
"tree_233245",0.915760215883217
"tree_3795309",-1.71224498171919
"tree_4834009",1.55172570491901
"tree_564010",3.36085745219767
"tree_3326612",-2.11337058998656
"tree_2551698",-2.81138054285353
"tree_3854657",-0.221477595498154
"tree_1670160",1.33964271738859
"tree_185257",-1.89694363176147
"tree_4180710",-1.05147150163821
"tree_4786529",-0.614999973692924
"tree_4488682",-0.0717929982564892
"tree_4762820",0.651012730411853
"tree_4849675",-1.11624854854339
"tree_541996",2.09312424099317
"tree_1161934",2.40639669519671
"tree_4595736",0.263139928150849
"tree_5041390",1.02497647643755
"tree_4170865",0.678742566688431
"tree_2095813",1.80490214212627
"tree_1287882",-0.829840979707297
"tree_4609833",-1.27047219715387
"tree_2400499",1.28289351419454
"tree_3978925",0.598335673295606
"tree_4389571",-0.931803806044704
"tree_1005167",1.18110539686585
"tree_4404765",0.944163758843238
"tree_4888499",0.925075230328712
"tree_1169068",0.3136894266698
"tree_210962",-3.86757554837181
"tree_3047826",-0.106669853108953
"tree_2784211",-0.523255295762381
"tree_3830731",-1.35180868684202
"tree_4318553",0.993004010361977
"tree_3458417",-0.356722329598685
"tree_239669",-2.80382157550087
"tree_2168468",-0.438921515975889
"tree_3341299",-1.05241461225313
"tree_2505602",1.37064026361815
"tree_3595599",1.26490865289913
"tree_4170163",-0.470784013114572
"tree_4696618",1.91586462834291
"tree_1096486",-0.358545688042783
"tree_3422602",1.49436884518994
"tree_242426",-0.466883872207471
"tree_4700922",2.43524472893516
"tree_4532691",-1.22031584697383
"tree_1478307",-2.45636841054682
"tree_2111504",-1.74749567407588
"tree_1122615",-0.582078955419662
"tree_1626857",-1.47242775515851
"tree_2811969",-1.02473019421287
"tree_2732183",1.51703153803072
"tree_539579",1.69113265489268
"tree_69421",-0.666765634739733
"tree_696703",3.00345156672656
"tree_4187867",-0.547574699774523
"tree_145611",0.753059830029501
"tree_4581553",0.326432152368078
"tree_2512818",1.09014329585194
"tree_156215",1.60273827228051
"tree_5046891",2.99702958627281
"tree_1385322",-1.84734033653451
"tree_1564640",-2.60671077946694
"tree_3791107",-2.35788845144425
"tree_5045991",3.00906331454039
"tree_1661209",-2.29162361776643
"tree_42402",-2.15353659190169
"tree_4507079",1.11624062907104
"tree_4289239",-0.562572398460664
"tree_790404",1.56918313513828
"tree_884615",1.23518637921949
"tree_52543",-2.3441208792235
"tree_4525965",0.66786278724873
"tree_4394557",-0.556137186839935
"tree_2900378",-0.570742020339782
"tree_4633797",1.96605250460144
"tree_2595539",1.7869189687457
"tree_242285",0.0707548135848158
"tree_4486640",0.0951444820320883
"tree_237903",-0.241699523708984
"tree_4250696",0.832414859261502
"tree_4345456",-0.364596651517602
"tree_63299",-1.59193697090173
"tree_222742",0.75886486491618
"tree_1570824",-0.646444442387135
"tree_524515",1.28613589442401
"tree_4144049",-0.307786084081414
"tree_3862218",-2.45203832010487
"tree_114625",-1.07036663739344
"tree_2618302",-0.0932121220919861
"tree_1268395",-1.59745198094565
"tree_249483",-1.66994363162255
"tree_4170436",1.40264848105974
"tree_945303",2.18032301020906
"tree_2414092",-1.33929228474376
"tree_2904377",3.55051420897724
"tree_2339023",0.0849815842929068
"tree_4787251",-0.117380742056684
"tree_242084",0.132323898644005
"tree_5048224",0.188332012023652
"tree_4177155",-0.791735708562892
"tree_699892",-0.476392940403114
"tree_142933",-1.5356831064001
"tree_2470435",-2.03908879485889
"tree_433658",1.96395675523525
"tree_171868",-2.45378369630934
"tree_3819131",0.207513147706192
"tree_4820652",2.11065852084162
"tree_2525101",-0.393611332528779
"tree_4281894",-0.053745640108492
"tree_4460219",-0.185658196336001
"tree_2479427",0.538820850500378
"tree_1784167",-1.04534425483944
"tree_899238",2.63791294335279
"tree_456784",-1.7906418037883
"tree_218036",1.7138569951282
"tree_4072051",-0.0373258987396006
"tree_7126",0.363404767587563
"tree_47474",-1.53865281255487
"tree_2693530",1.19255061296778
"tree_2533341",0.542166542692989
"tree_185269",-2.03020099220348
"tree_188910",0.526038997606392
"tree_2033185",-0.747434225260357
"tree_50797",0.890786143870527
"tree_1038860",-1.29587122673657
"tree_190748",-1.38381333998693
"tree_262242",-1.07902005471285
"tree_1044100",1.4598716243568
"tree_4526882",0.234265148925835
"tree_2442222",-2.45233586328432
"tree_3531393",3.97093711821902
"tree_3058817",-1.77794655017432
"tree_2087997",-1.05150247241231
"tree_243255",1.16245460747037
"tree_3493952",-0.981383176310391
"tree_3043450",-1.41106096305161
"tree_5021393",0.702151979393369
"tree_2070366",-0.547885934739712
"tree_115648",0.681210359957553
"tree_1926908",-2.77037491975277
"tree_4208826",-0.885793347893741
"tree_3020871",-0.416009696183445
"tree_3859226",-0.101671686033327
"tree_1800799",-2.49095430741389
"tree_3630031",0.627084337205832
"tree_477159",-1.69701091562875
"tree_2309509",-1.66921633928035
"tree_2774393",-0.761467425742994
"tree_3785743",-0.89292742945609
"tree_3752187",-0.23162416939328
"tree_509586",0.605464963265203
"tree_4871883",-0.983210760042017
"tree_108396",-3.61815625760841
"tree_4728215",0.695734956997698
"tree_4924343",2.26012956503148
"tree_3229693",0.0835768205985029
"tree_4455859",1.75211388877706
"tree_100147",-2.21316570360697
"tree_4092134",1.01603969124914
"tree_4668052",-0.577423927225955
"tree_4986022",-1.32646633559516
"tree_974297",-1.63907388862263
"tree_2046900",-0.123875913157315
"tree_4756745",0.286106537992205
"tree_1634029",-2.32239698892958
"tree_60711",-1.66680625127106
"tree_2879697",-2.66262515306812
"tree_3255519",0.70400535346727
"tree_2210423",-2.44002748987456
"tree_1921408",1.00035681440713
"tree_2043487",0.612990327785455
"tree_4973594",2.08981795914887
"tree_2097144",-0.568998709888397
"tree_272382",-1.72417296633741
"tree_395785",0.793949653771524
"tree_2868485",0.499647213884934
"tree_2564447",-0.832176366621019
"tree_3854892",1.27292175499458
"tree_3862741",0.465185000646423
"tree_3548511",0.455830470166154
"tree_4439318",-0.846563410780698
"tree_1357873",1.43051502075895
"tree_195414",1.48760765698836
"tree_1883846",1.23655792892056
"tree_4674301",-0.226406808215255
"tree_655463",1.3046107475147
"tree_4380849",1.10694774598552
"tree_4351347",1.88680613422973
"tree_3784830",-0.335017100149424
"tree_2351965",-1.83464085763301
"tree_2530721",0.245872787012963
"tree_4588111",0.786765751219173
"tree_2227460",0.7373209358425
"tree_4287814",0.564215382643766
"tree_439541",2.09743509238013
"tree_3327110",-1.01566579426181
"tree_413708",-0.595461713189278
"tree_3484509",0.463340632451972
"tree_189405",-1.72418788541923
"tree_4029024",-0.488190111895157
"tree_4504422",-1.28215376965926
"tree_1879660",-1.17533277271802
"tree_2962906",-0.743605020780067
"tree_18152",0.598412522924788
"tree_156510",-0.754257627161912
"tree_1130840",-0.0134439506938915
"tree_760390",-1.54731326468627
"tree_545617",0.975555869174765
"tree_276994",-0.430003592004216
"tree_159901",-3.3743867092441
"tree_133625",-1.71726634098553
"tree_978242",1.86480082422834
"tree_2899165",-1.62634466624311
"tree_881390",3.47334744159382
"tree_4109878",-2.54422372414509
"tree_1832484",-0.103723339144904
"tree_5000430",2.48685820117229
"tree_4822346",2.19700219448568
"tree_3194683",-1.59231868167496
"tree_4927321",2.45206635237062
"tree_4732528",-1.15779820971695
"tree_3662747",-0.217622494989134
"tree_175763",0.963912019102848
"tree_2204511",3.62891965908756
"tree_86384",0.65511752417777
"tree_2895854",-0.184764434187226
"tree_4038059",-0.114749960497135
"tree_278139",0.147332679963508
"tree_3266571",-2.15847171782117
