tree_ID,latitude,longitude,elevation,slope,curvature,num,swb
tree_4349687,-17.915513125572698,30.153756758211795,1165,5.465815544128418,4.0,3,0
tree_4138163,-19.03126493206487,30.935058149291315,1447,10.080829620361328,18.0,3,0
tree_3474025,-14.140973265851828,25.917209438343406,1111,3.9305408000946045,-6.0,2,0
tree_270671,-27.210580617097484,30.31687959294895,1444,3.259780168533325,6.0,3,0
tree_4488065,-18.35471228383185,32.79297827601797,1893,12.100188255310059,-12.0,3,0
tree_154233,-32.960261452038,25.231257005089713,553,25.761823654174805,14.0,3,0
tree_1044489,-7.081917538476423,31.429077495901527,879,0.9345384240150452,18.0,1,0
tree_637640,-1.7592669750202161,35.235972592866204,1859,5.919397354125977,-6.0,2,0
tree_121667,-29.118995604153355,31.532055975629813,86,5.605193614959717,0.0,4,0
tree_5018475,-21.041815628749923,24.42193908209139,910,0.9936553239822388,8.0,4,0
tree_4091799,-13.193886956706248,28.015644557690816,1224,2.85554575920105,-4.0,2,0
tree_3187772,-9.97256546918114,30.659285044640953,1416,5.272148132324219,-6.0,2,0
tree_3532906,-12.229940786477583,31.710665268325585,650,7.478033542633057,4.0,2,0
tree_21960,-33.781592193274285,22.925580705182348,802,15.960874557495117,-4.0,4,0
tree_60265,-27.578652654453126,30.538911611703185,1406,3.848905086517334,-2.0,4,0
tree_2908826,-14.825641478002124,26.0109620379921,1109,1.8543341159820557,-2.0,2,0
tree_2754626,-14.814190506496875,22.568353201588693,1033,1.3341690301895142,8.0,2,0
tree_4528149,-18.470100441791867,29.077949578956385,1210,6.114209175109863,6.0,2,0
tree_237755,-30.619318121898917,28.928172833672196,1479,3.85750150680542,0.0,3,0
tree_2398694,-13.258343262433804,26.819397058981842,1158,6.231557369232178,-8.0,2,0
tree_2468597,-12.882155661160898,28.123010792855684,1289,4.162168025970459,2.0,2,0
tree_4025685,-11.054691194629282,29.480976509469993,1206,2.104412794113159,0.0,2,0
tree_1685607,-9.540772877771763,37.24200622018411,414,3.9564032554626465,-14.0,2,0
tree_5018216,-20.628131446718587,25.494504494880946,903,1.3570880889892578,-6.0,2,0
tree_2130175,-12.624245715330641,28.480889325203147,1316,0.9503816962242126,4.0,2,0
tree_3396136,-16.363643399649302,25.805968244363086,1051,3.8281214237213135,0.0,2,0
tree_2148603,-8.568974230587981,30.421659549502827,864,4.769591331481934,-6.0,3,0
tree_395531,-7.513812689210032,36.319895336038876,707,2.63287091255188,18.0,2,0
tree_80544,-26.96546829129062,32.38917100282001,85,1.0405144691467285,6.0,3,0
tree_6461,-23.723144437803786,30.343656494774898,524,3.556079149246216,0.0,2,0
tree_4508359,-17.68140140206468,31.02312985419792,1483,5.547544956207275,-12.0,2,0
tree_98653,-27.166948313289517,25.534422367511397,1399,2.280780553817749,-2.0,3,0
tree_3908465,-12.27285071591489,27.890071812924727,1349,2.7802884578704834,6.0,2,0
tree_272151,-32.19941841659168,28.63411295560166,399,21.02720069885254,-68.0,3,0
tree_4693022,-16.24762204933969,34.64651956551014,150,2.1422336101531982,0.0,3,0
tree_4669615,-12.922358916258766,34.21678707878745,503,3.8243696689605713,12.0,1,0
tree_1943910,-8.043607403572045,38.93297760346975,27,0.9274099469184875,2.0,2,0
tree_198973,-27.778687927710706,31.070146615705458,1108,4.191630840301514,42.0,2,0
tree_1451583,-4.269865722939742,31.01007360631344,1150,2.788015127182007,2.0,2,0
tree_1097366,-7.066141238949331,37.91990551693527,166,2.6315462589263916,2.0,2,0
tree_59033,-30.807813241630182,30.306873370185013,179,19.198240280151367,-6.0,3,0
tree_4340816,-17.513275455945557,30.928926885342833,1293,1.8543341159820557,-4.0,2,0
tree_4793223,-11.374172407805519,33.334973090862206,1166,2.8358967304229736,6.0,1,0
tree_1265596,-8.352092473550481,33.25914607744836,1345,7.250903129577637,-8.0,2,0
