"tree_ID","latitude","longitude","rainyear","GUD","GUD_DOY","SRS","SRS_DOY","rain_sum","rain_var","ant_rain_sum"
"tree_3612725",-14.85855,26.76405,2023,41,222,104,284,642.146931786425,24.2094503273343,818.971637189388
"tree_3612899",-11.12771,32.9299,2020,91,272,138,318,858.312229166739,24.0623737447361,811.947300209475
"tree_3612899",-11.12771,32.9299,2021,81,262,164,344,756.259716033936,19.9681003033249,858.312229166739
"tree_3612899",-11.12771,32.9299,2022,111,292,130,310,808.720464305952,17.847838546224,756.259716033936
"tree_3612899",-11.12771,32.9299,2023,81,262,149,329,669.586409568786,17.9370017487049,808.720464305952
"tree_3613575",-15.42467,25.69428,2020,71,252,128,308,820.30109148898,20.0827696626034,736.478848263622
"tree_3613575",-15.42467,25.69428,2021,81,262,154,334,786.706577420235,29.2071994803785,820.30109148898
"tree_3613575",-15.42467,25.69428,2023,76,257,158,338,555.520275101066,18.3943326212646,805.380153510719
"tree_3613808",-10.60675,33.04835,2019,91,272,140,320,889.052367538213,20.7210001724789,854.473436310887
"tree_3613808",-10.60675,33.04835,2020,106,287,131,311,918.836922714487,25.2115399053005,889.052367538213
"tree_3613808",-10.60675,33.04835,2021,96,277,142,322,862.641845703125,24.8871983794795,918.836922714487
"tree_3613808",-10.60675,33.04835,2022,121,302,139,319,880.514324769378,23.6347733027397,862.641845703125
"tree_3613808",-10.60675,33.04835,2023,121,302,146,326,819.882153272629,23.7541684174843,880.514324769378
"tree_3614096",-10.86737,30.53353,2021,81,262,118,298,1235.81208825111,45.1614060190594,1267.27441422509
"tree_3614096",-10.86737,30.53353,2022,81,262,122,302,1188.40781472405,33.4740782815737,1235.81208825111
"tree_3614096",-10.86737,30.53353,2023,81,262,118,298,1338.08684249222,49.8841576469692,1188.40781472405
"tree_3614112",-10.49407,31.38695,2020,91,272,129,309,1237.24210032783,44.2722845718648,1398.94595426461
"tree_3614112",-10.49407,31.38695,2021,81,262,119,299,1277.98094213009,64.0420459398314,1237.24210032783
"tree_3614112",-10.49407,31.38695,2023,96,277,121,301,1254.1295940876,55.3927420225686,1266.4323734045
"tree_3614274",-10.39995,31.10371,2021,71,252,117,297,1322.35127258301,64.6742313853438,1298.40727237073
"tree_3614274",-10.39995,31.10371,2022,71,252,124,304,1393.81834647059,60.1051799845024,1322.35127258301
"tree_3614321",-12.7198,28.29925,2019,61,242,129,309,948.211842004021,33.9354030181257,1116.20188299882
"tree_3614321",-12.7198,28.29925,2020,66,247,128,308,1550.51346044718,75.298513738637,948.211842004021
"tree_3614321",-12.7198,28.29925,2021,61,242,119,299,1080.58323049545,47.3878744255996,1550.51346044718
"tree_3614632",-14.45108,26.19847,2020,86,267,128,308,1049.31115233173,38.9020730420098,824.987960744848
"tree_3614632",-14.45108,26.19847,2021,76,257,161,341,923.406465291977,31.9494513707589,1049.31115233173
"tree_3614632",-14.45108,26.19847,2023,56,237,103,283,696.446339191753,27.1029966691114,868.927742291708
"tree_3614738",-15.45523,26.69878,2019,101,282,128,308,699.856177289833,30.6829780918085,485.323442100038
"tree_3614738",-15.45523,26.69878,2021,101,282,136,316,729.302588224411,30.9307615494006,857.499132529304
"tree_3614738",-15.45523,26.69878,2022,121,302,118,298,737.056034591748,23.6082120834304,729.302588224411
"tree_3614738",-15.45523,26.69878,2023,121,302,157,337,565.209707036614,22.9216641423438,737.056034591748
"tree_361514",-11.4455,35.74656,2019,91,272,143,323,1187.4472079426,74.7173835061496,1157.9843711555
"tree_361514",-11.4455,35.74656,2020,106,287,161,341,1252.00878068816,64.2662133749729,1187.4472079426
"tree_361514",-11.4455,35.74656,2021,81,262,165,345,1020.50475764275,43.334061089917,1252.00878068816
"tree_361514",-11.4455,35.74656,2022,126,307,146,326,1034.82611364622,40.261938012798,1020.50475764275
"tree_3615315",-13.91434,29.06459,2022,131,312,121,301,1012.89086589722,36.6020980109983,876.080030441285
"tree_3615315",-13.91434,29.06459,2023,96,277,101,281,827.689275703713,37.6186145413651,1012.89086589722
"tree_3615328",-17.12043,25.21614,2019,66,247,133,313,659.684737231582,25.718458549218,346.12998873461
"tree_3615328",-17.12043,25.21614,2020,86,267,131,311,624.517005802214,14.7369197435682,659.684737231582
"tree_3615328",-17.12043,25.21614,2021,81,262,155,335,624.654101967812,19.1408092920249,624.517005802214
"tree_3615328",-17.12043,25.21614,2023,66,247,158,338,369.77439787332,9.69938217155142,418.221352305729
"tree_3615426",-16.74947,23.27654,2019,86,267,149,329,715.162562617043,29.6938782227392,369.278692111373
"tree_3615447",-15.91462,27.78622,2019,96,277,127,307,754.98507332032,40.4728284599589,477.637709665432
"tree_3615447",-15.91462,27.78622,2020,86,267,147,327,765.665127452056,22.603282520544,754.98507332032
"tree_3615447",-15.91462,27.78622,2021,121,302,127,307,721.27586376667,31.6265669025992,765.665127452056
"tree_3615447",-15.91462,27.78622,2023,146,327,158,338,535.302407196257,21.8264277212927,789.400189518929
"tree_361565",-9.91128,38.11318,2020,81,262,150,330,941.882688969374,49.1088033786685,1195.37694371119
"tree_3615909",-17.09338,23.11455,2019,136,317,150,330,762.351753916591,41.5110484978306,378.505670119077
"tree_3615982",-9.19108,30.58843,2021,36,217,132,312,1427.72739028931,59.4025062627949,1136.68309945343
"tree_3616138",-15.68366,28.86131,2021,96,277,137,317,816.905690193176,44.9167837951683,897.900431734659
"tree_3616138",-15.68366,28.86131,2023,96,277,157,337,673.725756810285,35.0496851828453,864.142591192853
"tree_3616441",-13.50057,29.49946,2022,111,292,123,303,1073.5102364918,40.2941221406328,876.084157466889
"tree_3616441",-13.50057,29.49946,2023,116,297,143,323,806.231272127333,37.6111548089812,1073.5102364918
"tree_3616467",-13.87693,27.22037,2021,66,247,135,315,964.173862695694,42.5477190589618,1271.58498732364
"tree_3616467",-13.87693,27.22037,2023,56,237,100,280,887.598434858955,39.1406397269523,938.228482055536
"tree_3616530",-14.09734,27.92253,2020,56,237,128,308,1282.62459748227,51.9156028657627,834.982899595052
"tree_3616530",-14.09734,27.92253,2021,36,217,138,318,880.181052684784,33.7432375684002,1282.62459748227
"tree_3616880",-14.80356,28.11886,2023,81,262,141,321,716.039200565252,31.5724059627867,843.965684086084
"tree_3617502",-15.05272,25.31755,2020,91,272,128,308,822.096006492264,20.9050054036435,821.14221922704
"tree_3617502",-15.05272,25.31755,2021,86,267,139,319,767.166293501854,25.6476657945069,822.096006492264
"tree_3617531",-15.7181,28.26716,2022,106,287,118,298,839.673270257526,29.0533956507979,794.941295266151
"tree_3617531",-15.7181,28.26716,2023,91,272,158,338,624.469581887126,30.4453860316888,839.673270257526
"tree_3617713",-12.08543,29.51001,2021,61,242,136,316,1111.8013548851,44.1409325252114,1382.09238471285
"tree_3618131",-13.66292,28.48991,2022,101,282,119,299,1038.92490562117,37.7199617764995,1027.46381044388
"tree_3618299",-17.14143,26.28176,2019,121,302,129,309,630.043621979654,25.3209877207814,402.59395818616
"tree_3618299",-17.14143,26.28176,2020,101,282,130,310,661.4875359385,17.3119423636454,630.043621979654
"tree_3618299",-17.14143,26.28176,2021,96,277,163,343,569.358292341232,16.3717310043256,661.4875359385
"tree_3618299",-17.14143,26.28176,2022,96,277,117,297,557.972720924765,14.4150988456835,569.358292341232
"tree_3618299",-17.14143,26.28176,2023,91,272,160,340,377.418940403964,13.701124428448,557.972720924765
"tree_3618656",-17.31785,26.5861,2020,96,277,134,314,676.139609561767,18.5823319985329,643.89105414995
"tree_3618656",-17.31785,26.5861,2021,311,127,163,343,577.896224141121,17.2462024350939,676.139609561767
"tree_3618656",-17.31785,26.5861,2022,96,277,117,297,590.892605923116,16.6620281682266,577.896224141121
"tree_3618656",-17.31785,26.5861,2023,86,267,161,341,353.232278124429,14.1046109779348,590.892605923116
"tree_3619132",-13.71647,27.64668,2019,66,247,131,311,886.464108315586,34.7373152718596,827.322876047343
"tree_3619132",-13.71647,27.64668,2020,71,252,128,308,1320.27307789616,58.2961993268414,886.464108315586
"tree_3619132",-13.71647,27.64668,2021,76,257,135,315,945.278869867325,39.9714210204519,1320.27307789616
"tree_3619132",-13.71647,27.64668,2023,71,252,101,281,927.260877580555,40.599718242722,995.091875458747
"tree_3619245",-12.30458,27.16412,2019,56,237,131,311,1071.41214514896,34.2406982675111,1240.50749720811
"tree_3619245",-12.30458,27.16412,2021,61,242,120,300,1134.45905828476,41.0577033195354,1448.74493264646
"tree_3619264",-12.35029,27.08821,2019,66,247,131,311,1099.0880145058,38.1624267392966,1247.29023299436
"tree_3619264",-12.35029,27.08821,2021,66,247,135,315,1152.38058495522,48.9796285361157,1422.27847612669
"tree_3619288",-11.07633,33.18078,2019,101,282,141,321,892.625561322227,27.5716582272647,857.772592633963
"tree_3619288",-11.07633,33.18078,2021,106,287,165,345,761.786380529404,23.8352683455556,920.226928577015
"tree_3619625",-11.83555,32.81559,2019,96,277,140,320,846.582911304224,21.1756429523905,1014.7450517565
"tree_3619625",-11.83555,32.81559,2020,106,287,149,329,980.850490146316,25.8766086700706,846.582911304224
"tree_3619625",-11.83555,32.81559,2021,101,282,144,324,861.207483649254,26.244618143726,980.850490146316
"tree_3619625",-11.83555,32.81559,2022,136,317,130,310,978.474116497007,25.3392239449992,861.207483649254
"tree_3619625",-11.83555,32.81559,2023,111,292,145,325,783.365841016173,24.2121725305756,978.474116497007
"tree_3619645",-12.75054,31.85111,2019,141,322,139,319,694.546133048258,22.0667385199352,861.184250517224
"tree_3619645",-12.75054,31.85111,2021,91,272,144,324,802.061001062393,27.3765751061951,909.2630357585
"tree_3619645",-12.75054,31.85111,2022,131,312,130,310,894.578796666319,22.9870245053334,802.061001062393
"tree_3619645",-12.75054,31.85111,2023,101,282,159,339,573.27049062727,18.9245590124116,894.578796666319
"tree_3619675",-13.19335,28.7104,2022,91,272,123,303,1070.8037122582,44.0941425634198,1104.1583609581
"tree_3619675",-13.19335,28.7104,2023,101,282,100,280,991.355374602433,43.3176812178206,1070.8037122582
"tree_3620177",-14.1096,28.36019,2022,61,242,118,298,988.820564170397,35.8122238090823,909.220356941223
"tree_3620835",-11.6301,31.19124,2021,86,267,117,297,1046.56170201302,41.5481061494552,1159.90340823159
"tree_3620835",-11.6301,31.19124,2023,91,272,106,286,901.477749049664,30.8186185648855,1138.11400720198
"tree_3620896",-13.68699,29.2658,2023,96,277,145,325,789.172752206114,37.4221636613418,1051.05763373356
"tree_3621114",-16.97782,25.31359,2019,126,307,129,309,641.905410408974,24.6912869880603,366.909652033821
"tree_3621114",-16.97782,25.31359,2021,81,262,155,335,632.486938357353,20.9373713554272,624.1607607053
"tree_3621114",-16.97782,25.31359,2022,101,282,118,298,442.983299681917,8.91011148917548,632.486938357353
"tree_3621114",-16.97782,25.31359,2023,86,267,158,338,393.780039353994,12.4609531497002,442.983299681917
"tree_3621732",-13.95094,29.0243,2023,81,262,101,281,826.117571754934,37.8926410832375,1011.8457318
"tree_3621944",-15.73802,28.25471,2023,96,277,158,338,624.469581887126,30.4453860316888,839.673270257526
"tree_3622024",-16.55295,25.62712,2021,81,262,155,335,721.790287613869,27.0852560520498,664.245930544815
"tree_3622024",-16.55295,25.62712,2023,86,267,158,338,459.037125436822,16.5541043788761,522.053851805627
"tree_3622763",-12.86287,26.04414,2020,61,242,131,311,1235.03061994873,44.9485413403086,1088.21268200129
"tree_3622763",-12.86287,26.04414,2021,66,247,120,300,1247.17405748367,59.302292301857,1235.03061994873
"tree_3622790",-14.62966,26.42375,2020,81,262,128,308,940.551630864015,35.2047761754833,733.102563142893
"tree_3622790",-14.62966,26.42375,2021,61,242,161,341,872.6072473526,34.0502878684272,940.551630864015
"tree_3622790",-14.62966,26.42375,2023,1,182,146,326,601.912846833467,19.7720235469298,833.119563137181
"tree_3622844",-8.65975,30.70157,2022,126,307,123,303,1273.50100710618,50.1632657005202,1443.92376720905
"tree_3622844",-8.65975,30.70157,2023,51,232,118,298,1548.82883522799,79.0461295239546,1273.50100710618
"tree_3622900",-13.70061,31.52442,2019,96,277,136,316,714.890694216167,25.7825936823488,863.59879437834
"tree_3622900",-13.70061,31.52442,2020,91,272,146,326,1084.46652584906,36.4959092770142,714.890694216167
"tree_3622900",-13.70061,31.52442,2022,91,272,125,305,1044.86156985763,36.1726777219779,873.987638711929
"tree_3622900",-13.70061,31.52442,2023,106,287,159,339,719.2164680399,33.7696570940636,1044.86156985763
"tree_3623004",-15.35679,28.63216,2021,186,2,118,298,779.655017137527,35.6000406247314,890.188008506156
"tree_3623004",-15.35679,28.63216,2023,81,262,145,325,632.959958627083,35.9555457112723,899.231898059379
"tree_3623104",-16.19146,25.98184,2019,66,247,130,310,708.260886397475,31.2932492500851,436.774842534214
"tree_3623104",-16.19146,25.98184,2021,81,262,159,339,663.555104494095,24.0728135669591,694.001092622628
"tree_3623104",-16.19146,25.98184,2023,81,262,158,338,488.153200006505,19.750492459408,611.275173043832
"tree_3623109",-13.32631,32.54416,2020,106,287,148,328,1166.68425206524,47.2460681815617,795.164424460682
"tree_3623109",-13.32631,32.54416,2021,86,267,145,325,972.647970914841,42.6467492077515,1166.68425206524
"tree_3623109",-13.32631,32.54416,2022,91,272,130,310,1126.12840484054,38.3183298606328,972.647970914841
"tree_3623125",-11.44187,30.76196,2021,86,267,118,298,971.773190498352,32.3820916855322,1036.25096477292
"tree_3623125",-11.44187,30.76196,2022,141,322,124,304,960.583624760864,25.1512429572827,971.773190498352
"tree_3623360",-14.66707,26.19522,2019,126,307,134,314,813.366498310119,29.8753698934529,665.051403157413
"tree_3623360",-14.66707,26.19522,2020,86,267,128,308,1036.8344547692,39.8926893422684,813.366498310119
"tree_3623360",-14.66707,26.19522,2021,81,262,159,339,904.535614013672,35.9482163717677,1036.8344547692
"tree_3623360",-14.66707,26.19522,2023,86,267,146,326,635.994306092151,22.4173154772504,912.643589349463
"tree_3623489",-16.28576,25.25734,2019,126,307,128,308,763.114654585719,39.4246435323156,464.231835022569
"tree_3623489",-16.28576,25.25734,2020,91,272,131,311,712.601178593476,19.2680970557656,763.114654585719
"tree_3623489",-16.28576,25.25734,2021,66,247,155,335,776.35927271843,29.2287585748443,712.601178593476
"tree_3623489",-16.28576,25.25734,2022,351,167,118,298,546.012189028785,12.369573581035,776.35927271843
"tree_3623489",-16.28576,25.25734,2023,351,167,158,338,481.793705301941,16.9681548746961,546.012189028785
"tree_3623863",-15.84025,28.77026,2023,106,287,158,338,585.562262287829,29.243924881075,737.318697660075
"tree_3624000",-10.57727,33.38992,2019,101,282,140,320,1225.93978297681,39.8103473889702,1190.75043170933
"tree_3624000",-10.57727,33.38992,2022,126,307,133,313,1162.70697861537,32.1602663434056,1126.95199394226
"tree_3624000",-10.57727,33.38992,2023,91,272,145,325,1038.00602030754,30.2089917000543,1162.70697861537
"tree_3624209",-13.45703,28.19891,2019,351,167,130,310,889.427889466286,29.4603687834763,853.902260053903
"tree_3624209",-13.45703,28.19891,2020,141,322,128,308,1441.18020597503,73.6503953750545,889.427889466286
"tree_3624209",-13.45703,28.19891,2021,121,302,119,299,1070.08418035507,49.2909720282862,1441.18020597503
"tree_3624209",-13.45703,28.19891,2022,121,302,122,302,1006.43883528227,36.0469080502638,1070.08418035507
"tree_3624605",-15.41358,25.67273,2019,96,277,134,314,736.478848263622,29.0709046760722,503.288370579481
"tree_3624605",-15.41358,25.67273,2020,91,272,128,308,820.30109148898,20.0827696626034,736.478848263622
"tree_3624605",-15.41358,25.67273,2021,71,252,154,334,786.706577420235,29.2071994803785,820.30109148898
"tree_3624746",-14.16684,28.88863,2022,106,287,120,300,940.803088500057,33.893205686821,885.53931427002
"tree_3624746",-14.16684,28.88863,2023,81,262,105,285,826.927194676702,40.6870123677796,940.803088500057
"tree_3624858",-12.97744,31.70733,2019,96,277,139,319,697.897965672913,22.1863435675535,859.650675401092
"tree_3624858",-12.97744,31.70733,2021,101,282,144,324,861.147676706314,34.804540925535,1019.80488387698
"tree_3624858",-12.97744,31.70733,2022,136,317,130,310,958.272640665062,28.3829231919797,861.147676706314
"tree_3624858",-12.97744,31.70733,2023,106,287,158,338,617.639046041162,23.5161056944711,958.272640665062
"tree_3625033",-14.66725,30.95614,2021,76,257,127,307,845.762970209122,36.7832990694405,1034.03875608131
"tree_3625033",-14.66725,30.95614,2022,76,257,124,304,985.748683855706,32.6567633342424,845.762970209122
"tree_3625168",-14.24067,28.83066,2022,111,292,121,301,922.16073304894,33.5078419951169,880.506242275238
"tree_3625592",-16.74136,27.20207,2019,131,312,128,308,778.159035276622,42.7761781772197,379.398967973888
"tree_3625592",-16.74136,27.20207,2020,101,282,129,309,793.980672007646,22.256571066466,778.159035276622
"tree_3625592",-16.74136,27.20207,2021,81,262,142,322,705.913068294525,28.6835378628558,793.980672007646
"tree_3625592",-16.74136,27.20207,2022,116,297,117,297,712.364216759801,21.142088780815,705.913068294525
"tree_3625592",-16.74136,27.20207,2023,91,272,158,338,514.566426707664,21.0530273453483,712.364216759801
"tree_3625674",-16.16965,28.42743,2021,86,267,142,322,742.392170667649,36.8185216358204,777.672104104827
"tree_3625674",-16.16965,28.42743,2022,111,292,123,303,658.620131880045,23.3642311938868,742.392170667649
"tree_3625674",-16.16965,28.42743,2023,21,202,160,340,568.909998767078,28.5302827094377,658.620131880045
"tree_3625729",-15.98511,27.30628,2020,86,267,146,326,742.607951128819,24.6456557877415,654.343500081799
"tree_3625729",-15.98511,27.30628,2021,81,262,163,343,702.906346917152,29.4047045520672,742.607951128819
"tree_3625729",-15.98511,27.30628,2022,101,282,117,297,730.704205229878,26.3303699889919,702.906346917152
"tree_3625729",-15.98511,27.30628,2023,91,272,157,337,506.186699777842,20.7577064055111,730.704205229878
"tree_3625907",-11.1736,29.21793,2022,101,282,123,303,1276.87654350998,43.8733614358362,1112.01690840721
"tree_3626019",-16.48832,27.10534,2019,101,282,127,307,732.945581156062,37.4899750225689,407.960628191353
"tree_3626019",-16.48832,27.10534,2020,91,272,134,314,761.938061758349,23.4753970901655,732.945581156062
"tree_3626019",-16.48832,27.10534,2021,101,282,164,344,706.98538851738,30.9710095439391,761.938061758349
"tree_3626019",-16.48832,27.10534,2022,101,282,116,296,684.046777624637,20.5399159104875,706.98538851738
"tree_3626019",-16.48832,27.10534,2023,76,257,158,338,524.215982325666,20.3554491292943,684.046777624637
"tree_3626461",-17.02785,25.48045,2019,101,282,129,309,668.388925228268,26.3048380072966,387.6127748359
"tree_3626461",-17.02785,25.48045,2020,101,282,131,311,643.68348139304,15.2671340633598,668.388925228268
"tree_3626461",-17.02785,25.48045,2021,86,267,155,335,662.578650712967,24.7069033638486,643.68348139304
"tree_3626461",-17.02785,25.48045,2023,91,272,159,339,387.986032459885,13.2929219757364,450.544884361327
"tree_3626471",-16.81844,25.72484,2019,101,282,132,312,689.603646239266,25.7918999551401,426.697833385784
"tree_3626471",-16.81844,25.72484,2020,101,282,128,308,656.285195913184,17.9774531298136,689.603646239266
"tree_3626471",-16.81844,25.72484,2021,86,267,155,335,665.879862308502,21.4544439844017,656.285195913184
"tree_3626471",-16.81844,25.72484,2022,111,292,118,298,486.025326147675,11.0580425970956,665.879862308502
"tree_3626471",-16.81844,25.72484,2023,91,272,159,339,418.162301443983,17.1886521291432,486.025326147675
"tree_3626508",-16.04434,26.57681,2019,126,307,130,310,687.618514620553,33.3806510272951,422.533422036057
"tree_3626508",-16.04434,26.57681,2020,91,272,135,315,819.079184216358,25.0520207092609,687.618514620553
"tree_3626508",-16.04434,26.57681,2021,146,327,161,341,694.829064130783,28.5688850544055,819.079184216358
"tree_3626508",-16.04434,26.57681,2022,91,272,117,297,714.999644868076,23.5000660451014,694.829064130783
"tree_3626508",-16.04434,26.57681,2023,151,332,158,338,519.407081574202,20.3028978060897,714.999644868076
"tree_3626543",-15.55403,28.45845,2021,101,282,118,298,807.556029915809,39.0087437152392,853.105915655572
"tree_3626543",-15.55403,28.45845,2023,86,267,145,325,660.974149137735,31.1820409175765,863.494456984102
"tree_3626869",-16.94509,25.4187,2019,126,307,129,309,630.80164238927,29.6148401599721,373.105787590845
"tree_3626869",-16.94509,25.4187,2020,136,317,130,310,624.390155555526,15.1949807955518,630.80164238927
"tree_3626869",-16.94509,25.4187,2021,101,282,155,335,642.076513051987,21.2528174617783,624.390155555526
"tree_3626869",-16.94509,25.4187,2022,111,292,118,298,461.869645256549,10.3777639013814,642.076513051987
"tree_3626869",-16.94509,25.4187,2023,26,207,159,339,390.282647759653,13.5891735753524,461.869645256549
"tree_3626983",-11.44269,31.36081,2019,81,262,132,312,1066.12070407858,37.238243302198,1355.25836489536
"tree_3626983",-11.44269,31.36081,2021,91,272,119,299,1105.13215255737,43.0181947384111,1241.48189243849
