"tree_ID","rainyear","GUD","GUD_DOY","latitude","longitude"
"tree_3738106",2021,71,252,-12.4910969578747,26.1819730224928
"tree_3738106",2023,51,232,-12.4910969578747,26.1819730224928
"tree_3738316",2021,81,262,-14.3957306272373,28.2647210243342
"tree_3738414",2021,81,262,-9.03116005477765,31.515138146233
"tree_3738626",2020,86,267,-13.5570896557115,28.1657378991498
"tree_3738626",2021,81,262,-13.5570896557115,28.1657378991498
"tree_3738626",2023,81,262,-13.5570896557115,28.1657378991498
"tree_3738829",2019,121,302,-16.9473441866464,25.7762215812355
"tree_3738829",2020,71,252,-16.9473441866464,25.7762215812355
"tree_3738829",2021,81,262,-16.9473441866464,25.7762215812355
"tree_3738829",2022,91,272,-16.9473441866464,25.7762215812355
"tree_3738829",2023,106,287,-16.9473441866464,25.7762215812355
"tree_3738916",2019,106,287,-16.6906069843932,23.1271722047076
"tree_3739107",2021,51,232,-9.55211683085173,31.0820747110234
"tree_373930",2022,141,322,-10.0451462570281,39.5674274195561
"tree_3739339",2021,126,307,-12.0112441753113,26.7468296484381
"tree_3739432",2022,121,302,-13.804003458344,28.9412692134662
"tree_3739432",2023,76,257,-13.804003458344,28.9412692134662
"tree_3739582",2019,81,262,-12.7100655742053,28.4597085951993
"tree_3739582",2020,66,247,-12.7100655742053,28.4597085951993
"tree_3739582",2021,61,242,-12.7100655742053,28.4597085951993
"tree_3739582",2023,66,247,-12.7100655742053,28.4597085951993
"tree_3739602",2019,76,257,-16.3704033968463,23.8318484032847
"tree_3739730",2019,71,252,-16.806806698745,25.0991293817751
"tree_3739730",2020,96,277,-16.806806698745,25.0991293817751
"tree_3739730",2021,81,262,-16.806806698745,25.0991293817751
"tree_3739730",2022,91,272,-16.806806698745,25.0991293817751
"tree_3739730",2023,116,297,-16.806806698745,25.0991293817751
"tree_3739975",2019,96,277,-17.4640692758208,24.3482970281937
"tree_3739975",2020,101,282,-17.4640692758208,24.3482970281937
"tree_3740009",2019,76,257,-13.4483723129275,31.6428780141111
"tree_3740009",2020,91,272,-13.4483723129275,31.6428780141111
"tree_3740009",2021,86,267,-13.4483723129275,31.6428780141111
"tree_3740009",2022,71,252,-13.4483723129275,31.6428780141111
"tree_3740009",2023,76,257,-13.4483723129275,31.6428780141111
"tree_3740281",2019,91,272,-9.08155235578264,32.1683384822492
"tree_3740281",2021,81,262,-9.08155235578264,32.1683384822492
"tree_3740281",2023,71,252,-9.08155235578264,32.1683384822492
"tree_3740366",2021,81,262,-14.8914488913489,28.2301050228563
"tree_3740366",2023,86,267,-14.8914488913489,28.2301050228563
"tree_3740594",2019,71,252,-11.4232136011913,24.2183053142837
"tree_3740596",2021,76,257,-15.5542987220447,28.1164291597008
"tree_3740596",2022,111,292,-15.5542987220447,28.1164291597008
"tree_3740596",2023,81,262,-15.5542987220447,28.1164291597008
"tree_3740655",2019,96,277,-13.5247255002656,31.9833615932491
"tree_3740655",2021,76,257,-13.5247255002656,31.9833615932491
"tree_3740655",2022,96,277,-13.5247255002656,31.9833615932491
"tree_3740655",2023,106,287,-13.5247255002656,31.9833615932491
"tree_3740774",2019,76,257,-16.2092202710674,25.0908354538157
"tree_3740774",2021,21,202,-16.2092202710674,25.0908354538157
"tree_3740774",2023,NA,NA,-16.2092202710674,25.0908354538157
"tree_3741042",2020,91,272,-15.5162581309577,26.521645045239
"tree_3741042",2021,101,282,-15.5162581309577,26.521645045239
"tree_3741042",2022,91,272,-15.5162581309577,26.521645045239
"tree_3741042",2023,111,292,-15.5162581309577,26.521645045239
"tree_3741158",2020,91,272,-13.2228220634421,25.2326348673152
"tree_3741228",2019,106,287,-17.48552647009,25.4316802201389
"tree_3741228",2020,101,282,-17.48552647009,25.4316802201389
"tree_3741228",2023,96,277,-17.48552647009,25.4316802201389
"tree_3741324",2020,66,247,-16.1339461861842,22.3669623616109
"tree_3741324",2021,61,242,-16.1339461861842,22.3669623616109
"tree_3741324",2022,76,257,-16.1339461861842,22.3669623616109
"tree_3741324",2023,66,247,-16.1339461861842,22.3669623616109
"tree_3741557",2019,96,277,-12.6978075054093,32.295806344963
"tree_3741557",2021,86,267,-12.6978075054093,32.295806344963
"tree_3741557",2022,136,317,-12.6978075054093,32.295806344963
"tree_374188",2021,46,227,-5.57042051349093,31.5101171984469
"tree_3741979",2022,116,297,-12.0683964735133,29.4839551889737
"tree_3742247",2021,66,247,-12.064610696719,26.149698049068
"tree_3742247",2022,91,272,-12.064610696719,26.149698049068
"tree_3742370",2021,91,272,-10.1558345224778,30.6655946726316
"tree_3742370",2023,96,277,-10.1558345224778,30.6655946726316
"tree_3742542",2019,26,207,-10.3873332127685,33.1001880430951
"tree_3742542",2020,81,262,-10.3873332127685,33.1001880430951
"tree_3742542",2021,81,262,-10.3873332127685,33.1001880430951
"tree_3742542",2022,101,282,-10.3873332127685,33.1001880430951
"tree_3742542",2023,86,267,-10.3873332127685,33.1001880430951
"tree_3742792",2021,176,357,-15.4793902834478,28.7544863885394
"tree_3742792",2022,86,267,-15.4793902834478,28.7544863885394
"tree_3742792",2023,146,327,-15.4793902834478,28.7544863885394
"tree_3743352",2019,86,267,-17.4157504568056,23.52634201281
"tree_3743436",2019,91,272,-13.2634801468474,32.7096733501375
"tree_3743436",2021,86,267,-13.2634801468474,32.7096733501375
"tree_3743436",2022,136,317,-13.2634801468474,32.7096733501375
"tree_3743436",2023,96,277,-13.2634801468474,32.7096733501375
"tree_3744042",2019,76,257,-12.1132015208984,25.5175000790136
"tree_3744389",2020,136,317,-15.6709532647039,26.2110864932708
